2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 2, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐐 родился в х = 4, y = 3
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐺 eat 🦌, x = 5, y = 4.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🐇, x = 5, y = 4.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 eat 🐇, x = 1, y = 0.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🐗 eat 🐛, x = 2, y = 0.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 eat 🐁, x = 1, y = 0.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 eat 🐛, x = 1, y = 0.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦊 eat 🦆, x = 2, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐻 eat 🦌, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🐁, x = 3, y = 4.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦆 eat 🐛, x = 2, y = 0.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 3, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐺 eat 🐗, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 родился в х = 1, y = 0
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦆 eat 🐛, x = 2, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🦊 eat 🐇, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐻 eat 🐐, x = 3, y = 4.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐻 eat 🐁, x = 3, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐁 eat 🐛, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🐁 eat 🐛, x = 2, y = 0.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐺 eat 🐐, x = 3, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐁 eat 🐛, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 eat 🐁, x = 5, y = 3.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐁 eat 🐛, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐛 родился в х = 3, y = 4
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦅 eat 🦊, x = 5, y = 3.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐁 eat 🐛, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 5, y = 3.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐺 eat 🐑, x = 0, y = 3.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦅 eat 🐇, x = 5, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🐇, x = 2, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦆 eat 🐛, x = 2, y = 3.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🦆, x = 2, y = 3.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦅 eat 🦆, x = 0, y = 0.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 0, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐻 eat 🐎, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦅 родился в х = 2, y = 3
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 0, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🦊 eat 🐇, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐍 eat 🦊, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐁 eat 🐛, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦆 eat 🐛, x = 1, y = 2.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🐇, x = 0, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🦅 eat 🐁, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦅 eat 🦆, x = 1, y = 2.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦆 eat 🐛, x = 0, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🦅 eat 🐁, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🐁 eat 🐛, x = 1, y = 2.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 0, y = 4.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦊 eat 🐁, x = 1, y = 2.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 0, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐻 eat 🐐, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦊 eat 🐇, x = 5, y = 5.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🐻 eat 🐃, x = 1, y = 2.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐗 eat 🐁, x = 0, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🦊 eat 🐛, x = 5, y = 0.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 5, y = 5.
2024-12-02 15:13:51 [pool-3-thread-1] INFO  - 🦆 eat 🐛, x = 5, y = 5.
2024-12-02 15:13:51 [pool-3-thread-3] INFO  - 🦌 родился в х = 1, y = 2
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 4, y = 4.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 4, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐗 eat 🐛, x = 3, y = 1.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🦊 eat 🐇, x = 4, y = 4.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐺 eat 🐁, x = 4, y = 4.
2024-12-02 15:13:51 [pool-3-thread-2] INFO  - 🐗 eat 🐛, x = 4, y = 4.
2024-12-02 15:13:51 [pool-3-thread-4] INFO  - 🐐 родился в х = 3, y = 1
2024-12-02 15:13:53 [pool-2-thread-1] INFO  - ДЕНЬ №2
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐻 eat 🐍, x = 3, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦊 eat 🐁, x = 4, y = 0.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐍 eat 🦊, x = 3, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 4, y = 0.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐁, x = 4, y = 5.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦊 eat 🦆, x = 4, y = 0.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🐇, x = 1, y = 5.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦊 eat 🐛, x = 3, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐑 родился в х = 4, y = 0
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐛, x = 4, y = 5.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 3, y = 0.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🦊, x = 4, y = 5.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐎 родился в х = 4, y = 0
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐛 родился в х = 1, y = 5
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐛 родился в х = 3, y = 0
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐺 eat 🐐, x = 0, y = 5.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 5, y = 2.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 3, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐻 eat 🐁, x = 3, y = 2.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐺 eat 🐁, x = 0, y = 5.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 3, y = 3.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 3, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐁, x = 3, y = 2.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 3, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐁, x = 3, y = 2.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 3, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐻 eat 🐐, x = 3, y = 2.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐍 eat 🐁, x = 2, y = 1.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 2, y = 2.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐇 родился в х = 2, y = 1
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐃 родился в х = 2, y = 2
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦊 eat 🐁, x = 2, y = 5.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐑 родился в х = 2, y = 2
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦆 родился в х = 2, y = 5
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 родился в х = 2, y = 2
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🦆, x = 5, y = 1.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 родился в х = 2, y = 2
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 5, y = 1.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦆 родился в х = 2, y = 2
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🦆, x = 5, y = 1.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐻 eat 🐗, x = 5, y = 1.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐻 eat 🐍, x = 0, y = 2.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐁 eat 🐛, x = 0, y = 2.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 3, y = 5.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐺 eat 🐁, x = 0, y = 2.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐇, x = 1, y = 1.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 0, y = 2.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐻 eat 🐑, x = 1, y = 1.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐺 eat 🐑, x = 3, y = 5.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 0, y = 2.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 1, y = 4.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐗 родился в х = 1, y = 1
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐻 eat 🐍, x = 1, y = 4.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐗 родился в х = 1, y = 1
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 родился в х = 3, y = 5
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐗 eat 🐛, x = 4, y = 1.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐗 eat 🐁, x = 0, y = 1.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐺 eat 🐑, x = 4, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐁, x = 4, y = 3.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 eat 🐇, x = 4, y = 2.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐇, x = 4, y = 3.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 4, y = 2.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🦆, x = 4, y = 3.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐑 родился в х = 4, y = 2
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐻 eat 🦌, x = 2, y = 4.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦊 eat 🐛, x = 5, y = 4.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐛, x = 4, y = 3.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦊 eat 🐛, x = 2, y = 4.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐻 eat 🐃, x = 5, y = 4.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 1, y = 0.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐃 родился в х = 2, y = 4
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🦊, x = 5, y = 4.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🦆, x = 1, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐇, x = 5, y = 4.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 eat 🐁, x = 1, y = 0.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 eat 🦊, x = 1, y = 0.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 2, y = 0.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐺 eat 🐐, x = 0, y = 3.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 2, y = 0.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐍 eat 🦊, x = 0, y = 3.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🐺 eat 🐃, x = 3, y = 4.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐇, x = 0, y = 3.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐻 eat 🐗, x = 5, y = 3.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐇, x = 2, y = 3.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🦆, x = 3, y = 4.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 2, y = 3.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐺 eat 🐑, x = 2, y = 3.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🐍 eat 🐁, x = 0, y = 0.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 2, y = 3.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐺 eat 🐐, x = 5, y = 0.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐁, x = 0, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 1, y = 2.
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦊 eat 🐛, x = 0, y = 0.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🐁, x = 1, y = 2.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🐺 eat 🐐, x = 0, y = 4.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦅 eat 🦆, x = 1, y = 2.
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐻 eat 🐃, x = 5, y = 5.
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦊 родился в х = 0, y = 4
2024-12-02 15:13:53 [pool-3-thread-4] INFO  - 🦅 eat 🐇, x = 4, y = 4.
2024-12-02 15:13:53 [pool-3-thread-3] INFO  - 🦊 родился в х = 1, y = 2
2024-12-02 15:13:53 [pool-3-thread-2] INFO  - 🐺 родился в х = 5, y = 5
2024-12-02 15:13:53 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 3, y = 1.
2024-12-02 15:13:55 [pool-2-thread-1] INFO  - ДЕНЬ №3
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🦊 eat 🐁, x = 4, y = 0.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🐻 eat 🐃, x = 4, y = 0.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🐻 eat 🐑, x = 3, y = 0.
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🦊 eat 🦆, x = 4, y = 5.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🐑 родился в х = 4, y = 0
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐺 eat 🐇, x = 0, y = 5.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦅 eat 🐇, x = 3, y = 0.
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🦊 eat 🦆, x = 4, y = 5.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 3, y = 0.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐻 eat 🐐, x = 5, y = 2.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🐐 родился в х = 3, y = 0
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🦊 eat 🐛, x = 3, y = 2.
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🐑 родился в х = 4, y = 5
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🦊 eat 🐛, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦅 eat 🐇, x = 2, y = 1.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐻 eat 🐁, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐻 eat 🐐, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🦊 eat 🦆, x = 2, y = 2.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🦅 eat 🦊, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🐺 eat 🐗, x = 2, y = 5.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐺 eat 🐐, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐻 eat 🐁, x = 3, y = 3.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🦊 eat 🦆, x = 2, y = 2.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🦅 родился в х = 3, y = 3
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🐻 eat 🐁, x = 1, y = 3.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🦊 eat 🐇, x = 2, y = 2.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐁 родился в х = 3, y = 3
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🦅 eat 🐁, x = 5, y = 1.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦅 eat 🐁, x = 1, y = 3.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🐑 родился в х = 2, y = 2
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🐻 eat 🐗, x = 5, y = 1.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦊 eat 🐛, x = 1, y = 3.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🦌 родился в х = 1, y = 3
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🦊 eat 🐛, x = 3, y = 5.
2024-12-02 15:13:55 [pool-3-thread-4] INFO  - 🐻 eat 🐇, x = 1, y = 1.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐛 родился в х = 1, y = 4
2024-12-02 15:13:55 [pool-3-thread-2] INFO  - 🐛 родился в х = 3, y = 5
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🦊 eat 🐛, x = 4, y = 1.
2024-12-02 15:13:55 [pool-3-thread-3] INFO  - 🐻 eat 🐇, x = 4, y = 1.
2024-12-02 15:13:55 [pool-3-thread-1] INFO  - 🐺 eat 🐐, x = 4, y = 3.
